名言,作者,类别
FROM余秋雨,,
如果灵魂仍能研究和学习，那么没有什么比老年的空闲更快乐了空闲存于善良的行动，人类藉着它才能在道德上智能上与精神上获得成长。,西赛罗,
用道德的示范来造就一个人，显然比用法律来约束他更有价值,希腊,
道德的最大秘密就是爱；或者说，就是逾越我们自己的本性，而溶于旁人的思想行为或人格中存在的美。,雪莱,
如果良好的习惯是一种道德资本，那么，在同样的程度上，坏习惯就是道德上的无法偿清的债务了。,乌申斯基,
道德准则，只有当它们被学生自己去追求获得和亲自体验过的时候，只有当它们变成学生独立的个人信念的时候，才能真正成为学生的精神财富。,苏霍姆林斯基,
中国现代哲学家冯友兰先生，把人分成四种境界，天地境界，道德境界，功利境界和自然境界。咱们是在功利境界，杀人犯强暴犯这都是自然境界。道德境界就是圣人们，他认为中国古代人达到天地境界的只有一个人，就是老子，孔子都只在道德境界。,,
道德首先被要求的是支配自己,康德,
我们有无产阶级道德，我们应该发展它，巩固它，并且以这种无产阶级道德教育未来的一代,加里宁,
享有特权而无力量的人是废物。受过教育而无影响的人是一堆一文不值的垃圾。有些人在知识道德宗教信仰方面受过教养，但没有成为社会上行善的积极力量，这些人就对不起为培育和供养他们而花费的代价。如果他们也算是基督徒，他们就犯了因伪装而受尊敬的罪。他们本应成为世上的盐，而盐的首要责任应当有盐味。亨利·范·戴克,。受过教育而无影响的人是一堆一文不值的垃圾。有些人在知识道德宗教信仰方面受过教养。如果他们也算是基督徒。他们本应成为世上的盐亨利·范·戴克,
革命道德不是从天上掉下来的。它是从日常的坚持不懈的斗争和锻炼中发展和巩固起来的，正如玉石越磨越亮，黄金越炼越纯一样。胡志明,。它是从日常的坚持不懈的斗争和锻炼中发展和巩固起来的胡志明,
道德的损害是良心的完全麻痹。,芥川龙之介,
只有道德上的矮子才会要求得到应有的体面的对待。,佚名,
金钱与贪欲，是最无道德的恶魔,意大利,
不言体育而空言道德，空言智识，言者暗矣，听者心厌矣，究于事实何俾之有,恽代英,
能充实心灵的东西，乃是闪烁着星星的苍穹，以及我内心的道德律。,康德,
有两样东西，我思索的回数愈多，时间愈久，它们充溢我以愈见刻刻常新刻刻常增的惊异和严肃之感，那便是我头上的星空和心中的道德律。,康德,
种下一个善念，收获一种良知；种下一种良知，收获一种道德；种下一种道德，收获一种习惯；种下一种习惯，收获一种性格；种下一种性格，收获一种人生。,翟鸿燊,
编者,,
友谊是美德之手段，并且本身就是美德，是共同的美德。,费尔巴哈,
很多显得像朋友的人其实不是朋友，而很多是朋友的并不显得像朋友。,德谟克里特,
和你一同笑过的人，你可能把他忘掉但是和你一同哭过的人，你却永远不忘。,纪伯伦,
友谊是宁神药，是兴奋剂友谊是大海中的灯塔，沙漠里的绿洲。,吴乔,
真正的人生，只有在经过艰难卓绝的斗争之后才能实现。,塞涅卡,
生命有如铁砧，愈被敲打，愈能发出火花。,伽利略,
准确地说，我并不爱她，她当然也不爱我。但爱与不爱对方对那时的我不是重要问题。村上春树,。但爱与不爱对方对那时的我不是重要问题村上春树,
在所有的批评中，最伟大最正确最天才的是时间。,别林斯基,
所谓天才人物指的就是具有毅力的人勤奋的人入迷的人和忘我的人。,木村久一,
肉体只是漏壶，里面装着计时的沙粒，而这只漏壶本身最终也将变成沙粒。,乔·赫伯特,
世上真不知道有多少能成就功业的人，都因把难得的时间轻轻放过以致默默无闻了。,莫泊桑,
友谊活跃和青春的歌声会减轻我们的痛苦。,空茨凯维支,
什么叫做失败失败是到达较佳境地的第一步。,菲里浦斯,
一个人在科学探索的道路上，走过弯路，犯过错误，并不是坏事，更不是什么耻辱，要在实践中勇于承认和改正错误。,爱因斯坦,
